epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,1557.63,2.54256,2.4796,2.58392,0.63212,0.21494,0.20087,0.0746,2.3388,2.88796,2.54215,0.00113191,0.00113191,0.00113191
23,1639,2.50835,2.50704,2.57279,0.63463,0.20105,0.2171,0.08113,2.42896,2.45883,2.62114,0.00111776,0.00111776,0.00111776
24,1722.58,2.47098,2.39459,2.53691,0.64979,0.2037,0.22617,0.08891,2.30114,2.37529,2.49651,0.00110362,0.00110362,0.00110362
25,1802.22,2.44538,2.40465,2.49841,0.59027,0.21098,0.19994,0.07067,2.35738,2.44413,2.60472,0.00108947,0.00108947,0.00108947
26,1888.6,2.44785,2.3787,2.5121,0.72748,0.23397,0.25986,0.10693,2.19241,2.39325,2.4261,0.00107532,0.00107532,0.00107532
27,1966.63,2.40484,2.31905,2.43405,0.59296,0.22683,0.21114,0.07856,2.2916,2.32952,2.46042,0.00106118,0.00106118,0.00106118
28,2037.23,2.37923,2.27683,2.39649,0.60775,0.23053,0.21698,0.08103,2.24544,2.42859,2.48033,0.00104703,0.00104703,0.00104703
29,2107.61,2.33256,2.28752,2.39522,0.6579,0.2493,0.28789,0.12382,2.13103,2.30121,2.37063,0.00103288,0.00103288,0.00103288
30,2182.56,2.29886,2.25731,2.40022,0.64347,0.23432,0.22109,0.08789,2.2442,2.31378,2.50971,0.00101873,0.00101873,0.00101873
31,2254.99,2.29892,2.20112,2.3694,0.66745,0.22692,0.24664,0.09812,2.13982,2.31619,2.40836,0.00100459,0.00100459,0.00100459
32,2328.72,2.25603,2.1381,2.34818,0.68494,0.26498,0.29366,0.12362,2.11741,2.11516,2.34955,0.00099044,0.00099044,0.00099044
33,2412.15,2.2681,2.17312,2.32306,0.69718,0.2722,0.30776,0.12903,2.01981,2.15923,2.27459,0.000976293,0.000976293,0.000976293
34,2495.5,2.24643,2.13938,2.34009,0.64781,0.22674,0.26542,0.11441,2.0936,2.19381,2.29581,0.000962146,0.000962146,0.000962146
35,2576.11,2.21655,2.11126,2.24951,0.62175,0.34161,0.28873,0.13018,2.01432,2.07327,2.23498,0.000947999,0.000947999,0.000947999
36,2644.69,2.18317,2.09161,2.31107,0.63819,0.29202,0.30003,0.14117,1.95622,2.00088,2.22724,0.000933851,0.000933851,0.000933851
37,2723.78,2.19932,2.05639,2.2915,0.69724,0.30344,0.31541,0.14309,1.99624,2.03989,2.24542,0.000919704,0.000919704,0.000919704
38,2813.7,2.11931,1.98656,2.20486,0.71735,0.34549,0.34047,0.14745,1.96371,1.98705,2.19834,0.000905557,0.000905557,0.000905557
39,2908.49,2.16098,2.00919,2.21784,0.7059,0.34986,0.36006,0.16018,1.94043,1.93142,2.17292,0.00089141,0.00089141,0.00089141
40,2982.93,2.13447,2.07943,2.25415,0.75614,0.30356,0.36981,0.16586,2.02909,1.9908,2.22327,0.000877263,0.000877263,0.000877263
41,3054.23,2.10704,2.00089,2.22177,0.72805,0.28274,0.35751,0.1645,1.98508,1.97365,2.18967,0.000863116,0.000863116,0.000863116
42,3129.63,2.09717,1.96554,2.19845,0.7831,0.32611,0.3879,0.18524,1.93822,1.9206,2.17565,0.000848969,0.000848969,0.000848969
43,3200.31,2.08387,1.92092,2.15381,0.75099,0.31112,0.37503,0.15775,1.97744,1.9804,2.17869,0.000834822,0.000834822,0.000834822
44,3274.93,2.06194,1.9769,2.17858,0.71437,0.32972,0.35942,0.17838,1.89873,1.84924,2.17413,0.000820675,0.000820675,0.000820675
45,3345.9,2.00655,1.89642,2.13368,0.74991,0.31194,0.36558,0.17808,1.90129,1.84179,2.14674,0.000806528,0.000806528,0.000806528
46,3417.37,2.01715,1.90303,2.17066,0.77475,0.33025,0.36874,0.17719,1.96647,1.90597,2.19953,0.00079238,0.00079238,0.00079238
47,3491.22,1.98895,1.89408,2.18151,0.78725,0.32664,0.38336,0.17044,1.91094,1.84831,2.14211,0.000778233,0.000778233,0.000778233
48,3571.31,1.98783,1.85696,2.09414,0.79042,0.34384,0.40622,0.18859,1.88774,1.7919,2.12134,0.000764086,0.000764086,0.000764086
49,3648.08,1.96172,1.84342,2.08617,0.76417,0.39147,0.4119,0.19315,1.90556,1.74286,2.11042,0.000749939,0.000749939,0.000749939
50,3718.84,1.98921,1.81386,2.10486,0.78036,0.36469,0.42709,0.20312,1.83767,1.74501,2.06529,0.000735792,0.000735792,0.000735792
51,3794.44,1.9285,1.81427,2.06836,0.75646,0.39553,0.44091,0.21741,1.81475,1.73073,2.00959,0.000721645,0.000721645,0.000721645
52,3874.3,1.95076,1.83163,2.0982,0.7649,0.36008,0.40838,0.20052,1.80716,1.77521,2.04431,0.000707498,0.000707498,0.000707498
53,3949.54,1.92701,1.81303,2.04822,0.78165,0.35703,0.425,0.21538,1.8078,1.78731,2.03522,0.000693351,0.000693351,0.000693351
54,4025.78,1.88535,1.75184,2.00106,0.78465,0.411,0.4331,0.21785,1.78547,1.67846,2.00524,0.000679204,0.000679204,0.000679204
55,4095.52,1.85873,1.72005,1.9925,0.77908,0.395,0.44003,0.21834,1.7846,1.64581,2.01857,0.000665057,0.000665057,0.000665057
56,4163.92,1.86579,1.66497,1.97254,0.78539,0.38367,0.44524,0.22175,1.7798,1.65236,2.00852,0.000650909,0.000650909,0.000650909
57,4231.76,1.89802,1.68602,1.98094,0.79158,0.39066,0.45432,0.22875,1.77701,1.71374,1.99246,0.000636762,0.000636762,0.000636762
58,4302.59,1.84436,1.68492,2.00188,0.76693,0.38372,0.44475,0.22271,1.74892,1.6502,1.99182,0.000622615,0.000622615,0.000622615
59,4382.16,1.87047,1.68487,2.00849,0.7786,0.37246,0.43167,0.21203,1.74183,1.66185,1.99899,0.000608468,0.000608468,0.000608468
60,4457.18,1.82878,1.65566,1.96064,0.77274,0.42134,0.44538,0.22229,1.72674,1.64975,1.96106,0.000594321,0.000594321,0.000594321
61,4534.35,1.86334,1.66405,1.96657,0.79556,0.39328,0.44341,0.21731,1.73589,1.66084,1.9301,0.000580174,0.000580174,0.000580174
62,4614.7,1.83603,1.65465,1.9402,0.79579,0.38381,0.43858,0.22743,1.73152,1.63793,1.9558,0.000566027,0.000566027,0.000566027
63,4684.48,1.84034,1.69024,1.96046,0.7771,0.41241,0.46494,0.24216,1.69636,1.59257,1.91862,0.00055188,0.00055188,0.00055188
64,4758.02,1.79287,1.65236,1.93335,0.77868,0.37588,0.45626,0.22995,1.73429,1.62311,1.95754,0.000537733,0.000537733,0.000537733
65,4834.01,1.76795,1.63591,1.87908,0.78256,0.38363,0.44807,0.22507,1.70911,1.63417,1.92164,0.000523586,0.000523586,0.000523586
66,4904.58,1.78232,1.65528,1.91082,0.7859,0.41411,0.47499,0.24481,1.67212,1.52246,1.88288,0.000509438,0.000509438,0.000509438
67,4973.61,1.82111,1.60749,1.91361,0.80855,0.42178,0.47101,0.23966,1.66007,1.50741,1.88366,0.000495291,0.000495291,0.000495291
68,5042.27,1.79847,1.66134,1.97703,0.78263,0.38238,0.44256,0.23271,1.69358,1.59315,1.94089,0.000481144,0.000481144,0.000481144
69,5111.37,1.7879,1.64225,1.92144,0.81784,0.39109,0.45401,0.24111,1.6695,1.53915,1.91216,0.000466997,0.000466997,0.000466997
70,5181.51,1.82019,1.62706,1.89048,0.80667,0.41222,0.47358,0.24188,1.66216,1.51604,1.88194,0.00045285,0.00045285,0.00045285
71,5252.93,1.80372,1.6136,1.87857,0.80743,0.37211,0.44959,0.22909,1.70345,1.61104,1.92265,0.000438703,0.000438703,0.000438703
72,5323.51,1.80595,1.66788,1.89726,0.73994,0.45038,0.47601,0.24297,1.70607,1.52712,1.90221,0.000424556,0.000424556,0.000424556
73,5393.45,1.72898,1.58615,1.86733,0.77083,0.45252,0.49842,0.2713,1.67469,1.53671,1.89389,0.000410409,0.000410409,0.000410409
74,5462.67,1.74253,1.59762,1.89618,0.82573,0.42667,0.49962,0.26776,1.63272,1.45163,1.8756,0.000396262,0.000396262,0.000396262
75,5535.43,1.75551,1.56707,1.90648,0.7597,0.43621,0.50033,0.2628,1.67177,1.46985,1.89254,0.000382115,0.000382115,0.000382115
76,5605.06,1.71439,1.57352,1.87134,0.80447,0.39878,0.4599,0.24055,1.64721,1.55914,1.8787,0.000367967,0.000367967,0.000367967
77,5674.47,1.71059,1.58587,1.84315,0.80288,0.45101,0.49511,0.2628,1.63262,1.50558,1.85546,0.00035382,0.00035382,0.00035382
78,5747.46,1.71838,1.57525,1.89121,0.79428,0.42592,0.51325,0.27963,1.63832,1.44894,1.88074,0.000339673,0.000339673,0.000339673
